Date,Product Category,Product Name,Store Name,Store Type,Year,Quarter,Month,Day,Sum of Year,Sum of Units Sold,Region,Sum of Profit,Sum of Revenue
2020-01-01 00:00:00,Toys,Action Figure,Beverly Hills,Residential,2020,Qtr 1,January,1,2020,63,Los Angeles,378,1007.37
2020-01-02 00:00:00,Toys,Animal Figures,Beverly Hills,Residential,2020,Qtr 1,January,2,2020,7,Los Angeles,21,90.93
2020-01-03 00:00:00,Games,Chutes & Ladders,Beverly Hills,Residential,2020,Qtr 1,January,3,2020,5,Los Angeles,15,64.95
2020-01-04 00:00:00,Games,Classic Dominoes,Beverly Hills,Residential,2020,Qtr 1,January,4,2020,11,Los Angeles,22,109.89
2020-01-05 00:00:00,Electronics,Colorbuds,Beverly Hills,Residential,2020,Qtr 1,January,5,2020,5,Los Angeles,40,74.95
2020-01-06 00:00:00,Sports & Outdoors,Dart Gun,Beverly Hills,Residential,2020,Qtr 1,January,6,2020,24,Los Angeles,96,383.76
2020-01-07 00:00:00,Games,Deck Of Cards,Beverly Hills,Residential,2020,Qtr 1,January,7,2020,81,Los Angeles,243,566.19
2020-01-08 00:00:00,Toys,Dino Egg,Beverly Hills,Residential,2020,Qtr 1,January,8,2020,18,Los Angeles,18,197.82
2020-01-09 00:00:00,Toys,Dinosaur Figures,Beverly Hills,Residential,2020,Qtr 1,January,9,2020,52,Los Angeles,208,779.48
2020-01-10 00:00:00,Games,Glass Marbles,Beverly Hills,Residential,2020,Qtr 1,January,10,2020,10,Los Angeles,50,109.9
2020-01-11 00:00:00,Art & Crafts,Kids Makeup Kit,Beverly Hills,Residential,2020,Qtr 1,January,11,2020,2,Los Angeles,11.999999999999996,39.98
2020-01-12 00:00:00,Toys,Lego Bricks,Beverly Hills,Residential,2020,Qtr 1,January,12,2020,71,Los Angeles,355,2839.29
2020-01-13 00:00:00,Sports & Outdoors,Mini Ping Pong,Beverly Hills,Residential,2020,Qtr 1,January,13,2020,96,Los Angeles,288,959.04
2020-01-14 00:00:00,Games,Monopoly,Beverly Hills,Residential,2020,Qtr 1,January,14,2020,6,Los Angeles,35.999999999999986,119.94
2020-01-15 00:00:00,Art & Crafts,PlayDoh Can,Beverly Hills,Residential,2020,Qtr 1,January,15,2020,8,Los Angeles,8.000000000000002,23.92
2020-01-16 00:00:00,Art & Crafts,PlayDoh Toolkit,Beverly Hills,Residential,2020,Qtr 1,January,16,2020,31,Los Angeles,31,154.69
2020-01-17 00:00:00,Games,Rubik's Cube,Beverly Hills,Residential,2020,Qtr 1,January,17,2020,26,Los Angeles,52,519.74
2020-01-18 00:00:00,Sports & Outdoors,Splash Balls,Beverly Hills,Residential,2020,Qtr 1,January,18,2020,32,Los Angeles,32,287.68
2020-01-19 00:00:00,Toys,Teddy Bear,Beverly Hills,Residential,2020,Qtr 1,January,19,2020,4,Los Angeles,8,51.96
2020-01-20 00:00:00,Electronics,Toy Robot,Beverly Hills,Residential,2020,Qtr 1,January,20,2020,11,Los Angeles,55,285.89
2020-01-21 00:00:00,Toys,Action Figure,Hollywood,Commercial,2020,Qtr 1,January,21,2020,85,Los Angeles,510,1359.15
2020-01-22 00:00:00,Toys,Animal Figures,Hollywood,Commercial,2020,Qtr 1,January,22,2020,47,Los Angeles,141,610.53
2020-01-23 00:00:00,Electronics,Colorbuds,Hollywood,Commercial,2020,Qtr 1,January,23,2020,278,Los Angeles,2224,4167.22
